epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,4082.51,1.24912,1.03199,1.4662,0.73557,0.65519,0.72011,0.3915,1.93679,1.47205,2.16263,0.000209223,0.000209223,0.000209223
128,4113.04,1.22948,1.03944,1.47321,0.7269,0.68319,0.7133,0.3922,1.91629,1.41693,2.12773,0.000206471,0.000206471,0.000206471
129,4144.52,1.23783,1.02093,1.46656,0.78693,0.6695,0.70838,0.38667,1.91483,1.47197,2.15075,0.000203718,0.000203718,0.000203718
130,4177.08,1.24796,1.02813,1.46061,0.69883,0.6698,0.7111,0.38463,1.91588,1.45515,2.14104,0.000200966,0.000200966,0.000200966
131,4210.14,1.24681,1.02497,1.46036,0.70956,0.70066,0.72248,0.3988,1.92933,1.43859,2.15199,0.000198214,0.000198214,0.000198214
132,4240.1,1.25461,1.0327,1.47175,0.70167,0.68207,0.69836,0.38572,1.92772,1.40741,2.15897,0.000195462,0.000195462,0.000195462
133,4272.88,1.20564,1.01394,1.44412,0.71414,0.68342,0.71877,0.3828,1.90817,1.43539,2.14863,0.00019271,0.00019271,0.00019271
134,4303.39,1.24037,1.02764,1.45764,0.74537,0.65616,0.72359,0.39304,1.91657,1.41917,2.13735,0.000189957,0.000189957,0.000189957
135,4335.7,1.2472,1.01268,1.45513,0.74233,0.65436,0.71278,0.39119,1.89414,1.38874,2.11549,0.000187205,0.000187205,0.000187205
136,4365.99,1.22948,1.01625,1.45006,0.73601,0.68918,0.71845,0.3888,1.92231,1.40311,2.15155,0.000184453,0.000184453,0.000184453
137,4398.85,1.23645,1.00331,1.44868,0.71261,0.67022,0.70992,0.39486,1.89797,1.3995,2.11171,0.000181701,0.000181701,0.000181701
138,4429.16,1.18635,1.00324,1.42789,0.71491,0.66595,0.71626,0.38992,1.92161,1.43443,2.14244,0.000178949,0.000178949,0.000178949
139,4463.3,1.21216,0.98839,1.42883,0.78136,0.66513,0.71528,0.38695,1.92693,1.41545,2.16714,0.000176196,0.000176196,0.000176196
